epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9412,3.606,3.55508,4.24739,0.00296,0.04878,0.00162,0.0005,3.96898,3.65352,4.15924,0.0003,0.0003,0.0003
2,22.0433,3.70827,3.11534,4.09094,0.00259,0.04268,0.00142,0.00046,3.98691,3.72047,4.16699,0.000613862,0.000613862,0.000613862
3,30.121,3.38295,2.94643,3.83034,0.00259,0.04268,0.0014,0.0004,4.08149,3.96982,4.24484,0.000921388,0.000921388,0.000921388
4,37.6317,3.16048,2.76437,3.57347,0.00344,0.02439,0.00177,0.00067,4.10536,4.1326,4.36813,0.00122258,0.00122258,0.00122258
5,43.6862,2.99938,2.73469,3.32303,0.00286,0.04268,0.00212,0.00052,4.26048,4.16132,4.56461,0.00151743,0.00151743,0.00151743
6,52.7936,2.97246,2.67168,3.13977,0.01373,0.21951,0.01031,0.00325,3.87492,3.61677,4.06627,0.00180595,0.00180595,0.00180595
7,59.0085,2.89575,2.61833,2.96545,0.01134,0.14024,0.00689,0.00235,3.89079,3.81196,4.13137,0.0018812,0.0018812,0.0018812
8,66.3807,2.85781,2.59262,2.88136,0.02496,0.06098,0.02353,0.00829,3.13836,3.11338,3.47446,0.0018614,0.0018614,0.0018614
9,74.492,2.79326,2.53311,2.81508,0.11081,0.13415,0.05736,0.01756,2.91821,2.82056,2.90457,0.0018416,0.0018416,0.0018416
10,80.2904,2.7285,2.39198,2.72938,0.15842,0.29843,0.09479,0.03202,2.6319,2.76583,2.74985,0.0018218,0.0018218,0.0018218
11,90.0118,2.64337,2.24653,2.62834,0.24591,0.33537,0.17966,0.06008,2.39255,2.35027,2.43142,0.001802,0.001802,0.001802
12,95.9576,2.56792,2.13901,2.55231,0.33439,0.23171,0.17404,0.05303,3.04942,2.37407,2.95084,0.0017822,0.0017822,0.0017822
13,103.52,2.50196,2.06859,2.52904,0.43073,0.41523,0.3864,0.12574,2.53287,2.07364,2.49401,0.0017624,0.0017624,0.0017624
14,111.027,2.41054,1.92135,2.40261,0.54458,0.35976,0.40238,0.17924,2.21421,1.98548,2.23162,0.0017426,0.0017426,0.0017426
15,116.824,2.35008,1.83745,2.34797,0.64877,0.42073,0.4537,0.20696,2.12291,1.84421,2.13086,0.0017228,0.0017228,0.0017228
16,125.923,2.30347,1.74551,2.26056,0.65163,0.50185,0.5331,0.24491,1.98043,1.66601,2.03923,0.001703,0.001703,0.001703
17,131.982,2.20547,1.67601,2.22246,0.6609,0.54878,0.57863,0.27541,1.89161,1.61875,1.96411,0.0016832,0.0016832,0.0016832
18,139.012,2.17246,1.60743,2.12986,0.66427,0.54291,0.59828,0.30386,1.88159,1.602,1.98485,0.0016634,0.0016634,0.0016634
19,147.249,2.13165,1.66941,2.16446,0.78375,0.57317,0.64187,0.31298,1.87364,1.51126,1.94022,0.0016436,0.0016436,0.0016436
20,152.828,2.05641,1.59804,2.0345,0.70799,0.60366,0.66295,0.28631,1.88208,1.48796,1.8963,0.0016238,0.0016238,0.0016238
21,161.505,2.05427,1.51949,2.06364,0.71771,0.61585,0.69031,0.33996,1.82601,1.40049,1.84876,0.001604,0.001604,0.001604
22,168.029,2.00761,1.47444,2.03692,0.42367,0.55488,0.4637,0.22933,1.97669,1.67798,2.01184,0.0015842,0.0015842,0.0015842
23,174.41,1.98689,1.43903,1.97381,0.82377,0.70122,0.77352,0.38621,1.79728,1.26374,1.83907,0.0015644,0.0015644,0.0015644
24,183.546,1.9628,1.40307,1.93009,0.73516,0.71951,0.75685,0.35234,1.73653,1.38174,1.78657,0.0015446,0.0015446,0.0015446
25,189.63,1.90417,1.38247,1.90324,0.77729,0.681,0.76302,0.39052,1.73559,1.3258,1.7598,0.0015248,0.0015248,0.0015248
26,198.253,1.85633,1.38187,1.90065,0.48498,0.57419,0.50345,0.23448,1.79134,1.6519,1.84071,0.001505,0.001505,0.001505
27,204.934,1.82225,1.33386,1.84635,0.85957,0.60976,0.71866,0.35525,1.80148,1.32165,1.83393,0.0014852,0.0014852,0.0014852
28,211.125,1.84188,1.2694,1.81443,0.77963,0.69033,0.76456,0.34896,1.82591,1.24854,1.80605,0.0014654,0.0014654,0.0014654
29,220.085,1.81735,1.31893,1.85623,0.81553,0.69512,0.79687,0.36663,1.78364,1.24588,1.75034,0.0014456,0.0014456,0.0014456
30,226.054,1.78669,1.28769,1.82061,0.7984,0.63415,0.72971,0.33947,1.83197,1.43331,1.81937,0.0014258,0.0014258,0.0014258
31,233.887,1.75367,1.26368,1.7782,0.78918,0.7378,0.7926,0.38477,1.71888,1.28789,1.70874,0.001406,0.001406,0.001406
32,241.221,1.70394,1.21927,1.76851,0.77459,0.73171,0.81247,0.38543,1.79434,1.20345,1.78113,0.0013862,0.0013862,0.0013862
